Total result files found: 1000
Total files analyzed: 1000
Dominant Error State Check: 74.30% of files contain this error
Nondeterministic Confusion Check: 38.20% of files contain this error
Vacuous Confusion Check: 0.00% of files contain this error
Dominant Blocking State Check: 0.00% of files contain this error

Total Number of Each Error Type:
Dominant Error State Check (Compound Errors): 124
Dominant Error State Check: 1222 occurrences
Nondeterministic Confusion Check: 470 occurrences
Vacuous Confusion Check: 0 occurrences
Dominant Blocking State Check: 0 occurrences

Dominant Error Check by Previous State and Previous Action:
Previous State D, Previous Action up2 -> State P: 293 errors
Previous State P, Previous Action down2 -> State D: 160 errors
Previous State N, Previous Action up1 -> State P: 248 errors
Previous State D, Previous Action up1 -> State P: 135 errors
Previous State R, Previous Action down1 -> State D: 386 errors

Compound Errors by Previous State and Previous Action:
Previous State P, Previous Action up1 -> State P: 96 compound errors
Previous State P, Previous Action up1 -> State R: 6 compound errors
Previous State D, Previous Action up1 -> State P: 21 compound errors
Previous State D, Previous Action up1 -> State D: 1 compound errors


Errors by Files:

Dominant Error State Check:
  computed/gear1_153/result/gear1_153Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.33465273165514586}, Binary True State: {'R': 0.33078781700083104}
  computed/gear1_361/result/gear1_361Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4677847484744232}, Binary True State: {'R': 0.38268136433473887}
  computed/gear1_705/result/gear1_705Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.45958095444863245}, Binary True State: {'N': 0.4523074807486105}
  computed/gear1_705/result/gear1_705Result.json - Initial Error, Previous State: D, Previous Action: down2, FMMFSM State: P, Fuzzy Max State: {'P': 0.5840633675325788}, Binary True State: {'R': 0.43207027608466897}
  computed/gear1_705/result/gear1_705Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: P, Fuzzy Max State: {'P': 0.2841718415940371}, Binary True State: {'N': 0.26157528198003954}
  computed/gear1_537/result/gear1_537Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5194489372440955}, Binary True State: {'N': 0.5184928869610279}
  computed/gear1_537/result/gear1_537Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.4868595065618889}, Binary True State: {'N': 0.34486020999042233}
  computed/gear1_537/result/gear1_537Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.4862112396957793}, Binary True State: {'R': 0.44199177269355316}
  computed/gear1_508/result/gear1_508Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4409422412117807}, Binary True State: {'R': 0.32420767410047246}
  computed/gear1_950/result/gear1_950Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.6465442976846225}, Binary True State: {'R': 0.5447742430216229}
  computed/gear1_198/result/gear1_198Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4630211970510141}, Binary True State: {'R': 0.4271026773127492}
  computed/gear1_702/result/gear1_702Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.30353862940866716}, Binary True State: {'N': 0.20637335977207139}
  computed/gear1_702/result/gear1_702Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.30512194336818577}, Binary True State: {'N': 0.2931147240343882}
  computed/gear1_366/result/gear1_366Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.2223516068317678}, Binary True State: {'N': 0.176974966476384}
  computed/gear1_154/result/gear1_154Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5124499995300777}, Binary True State: {'R': 0.36716535351141777}
  computed/gear1_196/result/gear1_196Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4259627933061705}, Binary True State: {'N': 0.3406904061999402}
  computed/gear1_196/result/gear1_196Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.3873391953791211}, Binary True State: {'R': 0.3305822550602512}
  computed/gear1_995/result/gear1_995Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.43004345657219234}, Binary True State: {'R': 0.29899264856767993}
  computed/gear1_539/result/gear1_539Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.40960051077638415}, Binary True State: {'R': 0.38600875753543185}
  computed/gear1_539/result/gear1_539Result.json - Initial Error, Previous State: P, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.5290732806642535}, Binary True State: {'R': 0.3802985938302622}
  computed/gear1_733/result/gear1_733Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5089570208675138}, Binary True State: {'R': 0.4981053914327064}
  computed/gear1_733/result/gear1_733Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.5983620816870674}, Binary True State: {'N': 0.42707866111779835}
  computed/gear1_501/result/gear1_501Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.3625858551300406}, Binary True State: {'N': 0.3491971754844707}
  computed/gear1_959/result/gear1_959Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4680804680572397}, Binary True State: {'N': 0.44379297550541486}
  computed/gear1_959/result/gear1_959Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.5200984046597216}, Binary True State: {'N': 0.38565555870725476}
  computed/gear1_165/result/gear1_165Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.45385269831450803}, Binary True State: {'R': 0.40966863732048453}
  computed/gear1_191/result/gear1_191Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5419608298879808}, Binary True State: {'R': 0.5085371147356862}
  computed/gear1_368/result/gear1_368Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.5092468833229236}, Binary True State: {'N': 0.4143202299119674}
  computed/gear1_368/result/gear1_368Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.4681891379453387}, Binary True State: {'R': 0.3734498153932426}
  computed/gear1_992/result/gear1_992Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.393031100184694}, Binary True State: {'N': 0.33445641403635207}
  computed/gear1_758/result/gear1_758Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.3419602469836577}, Binary True State: {'N': 0.22482400193567498}
  computed/gear1_758/result/gear1_758Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.3891885425838144}, Binary True State: {'R': 0.30305634642403234}
  computed/gear1_555/result/gear1_555Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.3932602958065282}, Binary True State: {'R': 0.2831691964262836}
  computed/gear1_767/result/gear1_767Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.5345769322095468}, Binary True State: {'R': 0.41051749000261817}
  computed/gear1_767/result/gear1_767Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.3360014807233591}, Binary True State: {'N': 0.2607238879863075}
  computed/gear1_303/result/gear1_303Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.3134185830999866}, Binary True State: {'N': 0.30045544936992064}
  computed/gear1_131/result/gear1_131Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.1492592294187346}, Binary True State: {'N': 0.14108231948087468}
  computed/gear1_793/result/gear1_793Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4259627933061705}, Binary True State: {'N': 0.3406904061999402}
  computed/gear1_793/result/gear1_793Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.4820299792289282}, Binary True State: {'R': 0.4457139472604378}
  computed/gear1_935/result/gear1_935Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4139121017457138}, Binary True State: {'N': 0.31299423051993547}
  computed/gear1_935/result/gear1_935Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.363405709902636}, Binary True State: {'N': 0.34505820534485865}
  computed/gear1_794/result/gear1_794Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.4892425523660454}, Binary True State: {'R': 0.36783096727348363}
  computed/gear1_136/result/gear1_136Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.32560209206414337}, Binary True State: {'N': 0.26911678539333284}
  computed/gear1_304/result/gear1_304Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.3114400976033245}, Binary True State: {'R': 0.21684049102062053}
  computed/gear1_760/result/gear1_760Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.30157745567720007}, Binary True State: {'N': 0.2897743370256579}
  computed/gear1_760/result/gear1_760Result.json - Initial Error, Previous State: D, Previous Action: down2, FMMFSM State: P, Fuzzy Max State: {'P': 0.5377838730894222}, Binary True State: {'R': 0.38951048857170456}
  computed/gear1_760/result/gear1_760Result.json - Initial Error, Previous State: P, Previous Action: up1, FMMFSM State: D, Fuzzy Max State: {'D': 0.44035755711071856}, Binary True State: {'N': 0.30614858122298383}
  computed/gear1_552/result/gear1_552Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.23728833239784397}, Binary True State: {'N': 0.1859920530207223}
  computed/gear1_552/result/gear1_552Result.json - Initial Error, Previous State: D, Previous Action: down1, FMMFSM State: P, Fuzzy Max State: {'P': 0.2395985913014801}, Binary True State: {'N': 0.2297445758528298}
  computed/gear1_903/result/gear1_903Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.47869697968163183}, Binary True State: {'R': 0.3801526900427743}
  computed/gear1_903/result/gear1_903Result.json - Initial Error, Previous State: P, Previous Action: up2, FMMFSM State: P, Fuzzy Max State: {'P': 0.5246653135258939}, Binary True State: {'R': 0.38253198738022287}
  computed/gear1_590/result/gear1_590Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.18778795505665935}, Binary True State: {'N': 0.17885269326090147}
  computed/gear1_756/result/gear1_756Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.30633850917329497}, Binary True State: {'N': 0.25138265977447016}
  computed/gear1_100/result/gear1_100Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.4174540248040428}, Binary True State: {'N': 0.3196204343164142}
  computed/gear1_332/result/gear1_332Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: D, Fuzzy Max State: {'D': 0.3114348713255607}, Binary True State: {'N': 0.24136470163783008}
  computed/gear1_138/result/gear1_138Result.json - Initial Error, Previous State: N/A, Previous Action: N/A, FMMFSM State: P, Fuzzy Max State: {'P': 0.6161057613551324}, Binary True State: {'R': 0.4617295832900987}
